id,ip,country,city,latitude,longitude,ip2,country2,city2,latitude2,longitude2,distance,flag
74858058,130.95.108.251,AU,Crawley,-31.9746305,115.8175988,130.95.238.146,AU,Crawley,-31.9746305,115.8175988,0.0,low risk
74858058,130.95.108.251,AU,Crawley,-31.9746305,115.8175988,130.95.238.146,AU,Crawley,-31.9746305,115.8175988,0.0,low risk
74768091,130.95.254.178,AU,Claremont,-31.980291,115.7839988,130.95.254.137,AU,Claremont,-31.980291,115.7839988,0.0,low risk
74217674,180.150.80.213,AU,Bedfordale,-32.179239,116.0652304,125.63.25.72,AU,Perth,-31.9558933,115.8605855,31.41,high risk
74217674,180.150.80.213,AU,Bedfordale,-32.179239,116.0652304,125.63.25.72,AU,Perth,-31.9558933,115.8605855,31.41,high risk
66904391,49.196.201.63,AU,Perth,-31.9558933,115.8605855,185.255.130.80,US,Dallas,32.7762719,-96.7968559,16964.66,high risk
74985655,125.63.25.42,AU,Perth,-31.9558933,115.8605855,125.63.29.197,AU,Perth,-31.9558933,115.8605855,0.0,low risk
75447226,1.146.133.62,AU,Perth,-31.9558933,115.8605855,130.95.188.149,AU,Crawley,-31.9746305,115.8175988,4.56,low risk
74491482,101.118.159.26,AU,North Sydney,-33.8354519,151.2083011,130.95.254.99,AU,Claremont,-31.980291,115.7839988,3304.05,high risk
74639675,147.69.89.88,AU,Perth,-31.9558933,115.8605855,60.228.181.108,AU,Sydney,-33.8698439,151.2082848,3297.2,high risk
74639675,147.69.89.88,AU,Perth,-31.9558933,115.8605855,60.228.181.108,AU,Sydney,-33.8698439,151.2082848,3297.2,high risk
74338030,130.95.254.248,AU,Claremont,-31.980291,115.7839988,130.95.254.212,AU,Claremont,-31.980291,115.7839988,0.0,low risk
73609265,130.95.254.102,AU,Claremont,-31.980291,115.7839988,101.187.152.73,AU,Perth,-31.9558933,115.8605855,7.73,low risk
74419897,125.63.25.45,AU,Perth,-31.9558933,115.8605855,125.63.25.161,AU,Perth,-31.9558933,115.8605855,0.0,low risk
74732707,106.69.47.105,AU,Perth,-31.9558933,115.8605855,106.69.44.123,AU,Perth,-31.9558933,115.8605855,0.0,low risk
74396456,130.95.254.117,AU,Claremont,-31.980291,115.7839988,101.185.172.232,AU,Perth,-31.9558933,115.8605855,7.73,low risk
74510297,49.192.143.179,AU,Perth,-31.9558933,115.8605855,49.192.130.21,AU,Perth,-31.9558933,115.8605855,0.0,low risk
74598004,125.63.25.232,AU,Perth,-31.9558933,115.8605855,125.63.25.191,AU,Perth,-31.9558933,115.8605855,0.0,low risk
74991405,130.95.254.72,AU,Claremont,-31.980291,115.7839988,130.95.254.14,AU,Claremont,-31.980291,115.7839988,0.0,low risk
74654367,130.95.254.239,AU,Claremont,-31.980291,115.7839988,130.95.254.173,AU,Claremont,-31.980291,115.7839988,0.0,low risk
74564874,130.95.254.80,AU,Claremont,-31.980291,115.7839988,130.95.254.153,AU,Claremont,-31.980291,115.7839988,0.0,low risk
75128177,147.69.121.39,AU,Perth,-31.9558933,115.8605855,147.69.1.196,AU,Perth,-31.9558933,115.8605855,0.0,low risk
75128177,147.69.121.39,AU,Perth,-31.9558933,115.8605855,147.69.1.196,AU,Perth,-31.9558933,115.8605855,0.0,low risk
74743222,110.22.8.88,AU,Perth,-31.9558933,115.8605855,130.95.254.128,AU,Claremont,-31.980291,115.7839988,7.73,low risk
75345908,115.69.43.223,AU,Brisbane,-27.4689682,153.0234991,130.95.254.41,AU,Claremont,-31.980291,115.7839988,3619.74,high risk
75345908,115.69.43.223,AU,Brisbane,-27.4689682,153.0234991,130.95.254.41,AU,Claremont,-31.980291,115.7839988,3619.74,high risk
74905761,103.94.51.1,AU,Leinster,-27.9141349,120.6977266,130.95.254.188,AU,Claremont,-31.980291,115.7839988,654.19,high risk
74878773,120.16.205.226,AU,Perth,-31.9558933,115.8605855,49.194.74.142,AU,Perth,-31.9558933,115.8605855,0.0,low risk
74878773,120.16.205.226,AU,Perth,-31.9558933,115.8605855,49.194.74.142,AU,Perth,-31.9558933,115.8605855,0.0,low risk
74878773,120.16.205.226,AU,Perth,-31.9558933,115.8605855,49.194.74.142,AU,Perth,-31.9558933,115.8605855,0.0,low risk
74603539,203.123.103.4,AU,Perth,-31.9558933,115.8605855,103.210.27.56,AU,Crows Nest,-33.8256273,151.2014745,3297.11,high risk
75247293,49.196.231.9,AU,Perth,-31.9558933,115.8605855,49.196.68.92,AU,Joondalup,-31.77955,115.76474475668536,21.55,high risk
75247293,49.196.231.9,AU,Perth,-31.9558933,115.8605855,49.196.68.92,AU,Joondalup,-31.77955,115.76474475668536,21.55,high risk
75455933,130.95.254.213,AU,Claremont,-31.980291,115.7839988,130.95.254.73,AU,Claremont,-31.980291,115.7839988,0.0,low risk
75221950,1.146.141.30,AU,Perth,-31.9558933,115.8605855,49.192.161.202,AU,Perth,-31.9558933,115.8605855,0.0,low risk
75221950,1.146.141.30,AU,Perth,-31.9558933,115.8605855,49.192.161.202,AU,Perth,-31.9558933,115.8605855,0.0,low risk
74552182,125.63.29.203,AU,Perth,-31.9558933,115.8605855,125.63.25.107,AU,Perth,-31.9558933,115.8605855,0.0,low risk
75129694,120.149.77.8,AU,Perth,-31.9558933,115.8605855,130.95.254.128,AU,Claremont,-31.980291,115.7839988,7.73,low risk
74511274,58.7.217.211,AU,Perth,-31.9558933,115.8605855,13.55.238.214,AU,Sydney,-33.8698439,151.2082848,3297.2,high risk
